iter	Passed	Remaining
480	614	662
481	615	661
482	616	659
483	616	657
484	617	656
485	618	654
486	619	652
487	620	650
488	621	649
489	622	647
490	623	645
491	624	644
492	624	642
493	625	640
494	626	639
495	627	637
496	628	635
497	629	634
498	630	632
499	631	631
500	631	629
501	632	627
502	633	625
503	634	624
504	635	622
505	636	621
506	637	619
507	637	617
508	638	616
509	639	614
510	640	612
511	641	611
512	642	609
513	643	608
514	644	606
515	645	605
516	646	603
517	647	602
518	647	600
519	648	598
520	649	597
521	650	595
522	651	594
523	652	592
524	653	590
525	654	589
526	655	587
527	655	586
528	656	584
529	657	583
530	658	581
531	659	580
532	660	578
533	661	577
534	662	575
535	663	574
536	664	572
537	665	571
538	666	569
539	666	568
540	668	566
541	669	565
542	670	564
543	670	562
544	672	561
545	672	559
546	673	558
547	674	556
548	675	554
549	676	553
550	677	551
551	678	550
552	679	548
553	680	547
554	681	546
555	682	544
556	683	543
557	683	541
558	684	540
559	685	538
560	686	537
561	687	535
562	688	534
563	689	532
564	690	531
565	690	529
566	691	528
567	692	526
568	693	525
569	694	523
570	695	522
571	696	521
572	697	520
573	698	518
574	699	517
575	700	515
576	701	514
577	702	513
578	703	511
579	704	510
580	705	508
581	705	507
582	706	505
583	707	504
584	709	503
585	710	501
586	710	500
587	711	498
588	712	497
589	713	495
590	714	494
591	715	492
592	715	491
593	716	489
594	717	488
595	718	487
596	719	485
597	720	484
598	721	482
599	721	481
600	723	480
601	724	478
602	724	477
603	725	475
604	726	474
605	727	472
606	728	471
607	729	470
608	730	468
609	731	467
610	732	466
611	732	464
612	733	463
613	734	461
614	735	460
615	736	459
616	737	457
617	738	456
618	739	455
619	740	453
620	741	452
621	741	450
622	742	449
623	743	448
624	744	446
625	745	445
626	746	444
627	747	442
628	748	441
629	748	439
630	749	438
631	750	437
632	751	435
633	752	434
634	753	433
635	754	431
636	755	430
637	756	428
638	756	427
639	757	426
640	758	425
641	759	423
642	760	422
643	761	420
644	762	419
645	763	418
646	764	416
647	764	415
648	766	414
649	766	412
650	767	411
651	768	410
652	769	408
653	770	407
654	771	406
655	772	404
656	773	403
657	773	402
658	774	400
659	775	399
660	776	398
661	777	396
662	778	395
663	779	394
664	780	393
665	781	391
666	781	390
667	782	389
668	783	387
669	784	386
670	784	384
671	785	383
672	787	382
673	787	381
674	788	379
675	789	378
676	790	377
677	791	375
678	792	374
679	792	373
680	794	371
681	794	370
682	795	369
683	796	368
684	797	366
685	798	365
686	799	364
687	799	362
688	800	361
689	801	360
690	802	359
691	803	357
692	804	356
693	805	355
694	806	353
695	807	352
696	808	351
697	809	350
698	810	348
699	810	347
700	811	346
701	812	344
702	813	343
703	814	342
704	815	341
705	816	339
706	817	338
707	818	337
708	819	336
709	820	334
710	820	333
711	821	332
712	822	331
713	823	329
714	824	328
715	825	327
716	826	326
717	827	325
718	828	323
719	829	322
720	830	321
721	831	320
722	832	318
723	832	317
724	833	316
725	834	314
726	835	313
727	836	312
728	837	311
729	838	309
730	838	308
731	839	307
732	840	306
733	841	304
734	842	303
735	843	302
736	844	301
737	845	300
738	846	298
739	847	297
740	848	296
741	849	295
742	849	293
743	851	292
744	852	291
745	853	290
746	853	289
747	854	288
748	855	286
749	856	285
750	857	284
751	858	283
752	860	282
753	861	281
754	862	280
755	863	278
756	864	277
757	866	276
758	867	275
759	868	274
760	869	273
761	870	271
762	871	270
763	872	269
764	873	268
765	874	267
766	875	266
767	876	264
768	877	263
769	878	262
770	879	261
771	880	260
772	881	258
773	882	257
774	883	256
775	884	255
776	885	254
777	887	253
778	888	252
779	890	251
780	891	250
781	892	248
782	894	247
783	895	246
784	896	245
785	897	244
786	898	243
787	899	241
788	900	240
789	901	239
790	902	238
791	903	237
792	904	236
793	905	234
794	906	233
795	907	232
796	908	231
797	909	230
798	910	229
799	911	227
800	912	226
801	913	225
802	914	224
803	915	223
804	916	222
805	917	220
806	918	219
807	919	218
808	920	217
809	921	216
810	922	214
811	923	213
812	924	212
813	924	211
814	925	210
815	926	208
816	927	207
817	928	206
818	929	205
819	930	204
820	931	203
821	932	201
822	933	200
823	934	199
824	935	198
825	936	197
826	937	196
827	938	194
828	939	193
829	939	192
830	940	191
831	941	190
832	942	188
833	943	187
834	944	186
835	945	185
836	946	184
837	947	183
838	948	181
839	948	180
840	949	179
841	950	178
842	951	177
843	952	176
844	953	174
845	954	173
846	955	172
847	956	171
848	957	170
849	959	169
850	960	168
851	961	167
852	962	165
853	963	164
854	965	163
855	966	162
856	967	161
857	968	160
858	969	159
859	970	158
860	971	156
861	973	155
862	974	154
863	975	153
864	977	152
865	978	151
866	979	150
867	981	149
868	982	148
869	983	146
870	984	145
871	985	144
872	987	143
873	988	142
874	989	141
875	990	140
876	991	139
877	992	137
878	993	136
879	994	135
880	996	134
881	996	133
882	997	132
883	998	131
884	999	129
885	1002	128
886	1003	127
887	1004	126
888	1005	125
889	1006	124
890	1007	123
891	1009	122
892	1010	121
893	1011	119
894	1012	118
895	1014	117
896	1015	116
897	1016	115
898	1017	114
899	1018	113
900	1019	112
901	1020	110
902	1021	109
903	1023	108
904	1024	107
905	1025	106
906	1026	105
907	1027	104
908	1028	102
909	1029	101
910	1030	100
911	1031	99
912	1032	98
913	1034	97
914	1038	96
915	1039	95
916	1040	94
917	1041	93
918	1043	91
919	1044	90
920	1045	89
921	1046	88
922	1047	87
923	1048	86
924	1050	85
925	1051	84
926	1052	82
927	1053	81
928	1054	80
929	1055	79
930	1056	78
931	1057	77
932	1058	76
933	1059	74
934	1060	73
935	1061	72
936	1062	71
937	1063	70
938	1064	69
939	1066	68
940	1067	66
941	1068	65
942	1070	64
943	1071	63
944	1072	62
945	1073	61
946	1074	60
947	1075	59
948	1076	57
949	1077	56
950	1078	55
951	1079	54
952	1080	53
953	1081	52
954	1082	51
955	1083	49
956	1084	48
957	1084	47
958	1085	46
959	1086	45
960	1087	44
961	1088	43
962	1089	41
963	1090	40
964	1092	39
965	1093	38
966	1094	37
967	1095	36
968	1096	35
969	1097	33
970	1098	32
971	1099	31
972	1100	30
973	1101	29
974	1102	28
975	1103	27
976	1104	26
977	1106	24
978	1107	23
979	1108	22
980	1110	21
981	1111	20
982	1112	19
983	1113	18
984	1114	16
985	1115	15
986	1116	14
987	1117	13
988	1118	12
989	1119	11
990	1120	10
991	1121	9
992	1122	7
993	1124	6
994	1125	5
995	1127	4
996	1128	3
997	1128	2
998	1129	1
999	1131	0
